ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{56045cb6-a4c3-4ed9-a5f1-5697f5fe3d1d}\" DisplayName=\"Qnty Auth\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Text\" />","<Field ID=\"{2e9f2528-88b9-4f9e-90c0-8029d6353740}\" DisplayName=\"Minimum Required\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Number\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CustomFormatter=\"{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;flex-wrap&quot;:&quot;wrap&quot;,&quot;display&quot;:&quot;flex&quot;},&quot;children&quot;:[{&quot;elmType&quot;:&quot;div&quot;,&quot;style&quot;:{&quot;box-sizing&quot;:&quot;border-box&quot;,&quot;padding&quot;:&quot;4px 8px 5px 8px&quot;,&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;display&quot;:&quot;flex&quot;,&quot;border-radius&quot;:&quot;16px&quot;,&quot;height&quot;:&quot;24px&quot;,&quot;align-items&quot;:&quot;center&quot;,&quot;white-space&quot;:&quot;nowrap&quot;,&quot;margin&quot;:&quot;4px 4px 4px 4px&quot;},&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;No Change&quot;]},&quot;sp-css-backgroundColor-BgGreen sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Ordered&quot;]},&quot;sp-css-backgroundColor-BgTeal sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Soon&quot;]},&quot;sp-css-backgroundColor-BgGold sp-css-borderColor-GoldFont sp-css-color-GoldFont sp-css-color-GoldFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Now&quot;]},&quot;sp-css-backgroundColor-BgRed sp-css-borderColor-WhiteFont sp-css-color-WhiteFont sp-css-color-WhiteFont&quot;,&quot;sp-field-borderAllRegular sp-field-borderAllSolid sp-css-borderColor-neutralSecondary&quot;]}]}]}]}]}},&quot;children&quot;:[{&quot;elmType&quot;:&quot;span&quot;,&quot;style&quot;:{&quot;overflow&quot;:&quot;hidden&quot;,&quot;text-overflow&quot;:&quot;ellipsis&quot;,&quot;padding&quot;:&quot;0 3px&quot;},&quot;txtContent&quot;:&quot;@currentField&quot;,&quot;attributes&quot;:{&quot;class&quot;:{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;No Change&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Ordered&quot;]},&quot;sp-css-color-WhiteFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Soon&quot;]},&quot;sp-css-color-GoldFont&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;&quot;]},&quot;&quot;,{&quot;operator&quot;:&quot;:&quot;,&quot;operands&quot;:[{&quot;operator&quot;:&quot;==&quot;,&quot;operands&quot;:[&quot;@currentField&quot;,&quot;Order Now&quot;]},&quot;sp-css-color-WhiteFont&quot;,&quot;&quot;]}]}]}]}]}}}]}],&quot;templateId&quot;:&quot;BgColorChoicePill&quot;}\" DisplayName=\"Status\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_3\" Title=\"Status\" Type=\"Choice\" ID=\"{d21ec301-3d50-4db1-9460-05ab91ddbcef}\" StaticName=\"field_3\"><CHOICES><CHOICE>No Change</CHOICE><CHOICE>Ordered</CHOICE><CHOICE>Order Soon</CHOICE><CHOICE>Order Now</CHOICE></CHOICES></Field>","<Field ID=\"{8835679c-083a-4438-b07a-c42958b96007}\" DisplayName=\"Qnty on Hand\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{9e586e21-9a64-4124-810a-af7bb7e3fbf2}\" DisplayName=\"Amount//Date//Priority\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{7d2c6a28-6b71-4b9d-9d25-426aa7ddc34c}\" DisplayName=\"Location\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{57207f5a-5b2e-4ced-8953-ec4c43567aea}\" DisplayName=\"Last Inventory Date\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" />","<Field ID=\"{3fe1e1c2-0c66-48eb-a059-60deb3c85e68}\" DisplayName=\"NSN\" Name=\"field_8\" StaticName=\"field_8\" Type=\"Note\" />","<Field DisplayName=\"Issued TO:\" Format=\"Dropdown\" IsModern=\"TRUE\" List=\"UserInfo\" Name=\"IssuedTO_x003a_\" Title=\"Issued TO:\" Type=\"User\" UserDisplayOptions=\"NamePhoto\" UserSelectionMode=\"0\" UserSelectionScope=\"0\" ID=\"{d283e98e-6897-4757-a05e-ffa797d6aea1}\" StaticName=\"IssuedTO_x003a_\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Item\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Item","Qnty Auth","Minimum Required","Status","Qnty on Hand","Amount//Date//Priority","Location","Last Inventory Date","NSN","Issued TO:"
"Adapter, Zero Gas Vapor Adapter","8","4","Order Soon",,,,,,
"Analyzing Kit ,Ahura vials","4 Box","6","Order Soon","7BOX / 29EA",,"E- GREEN DRAWER FRONT","3/3/2026","6680-01-X01-3343",
"Anti- Fog Kappler Spray Defogger ","8","10","No Change","10","6/02FEB26/12","A-SHELF-1","3/3/2026","841501X010590",
"Applicator Sterile Foam Tip Scored w/ thumb stop ","50","0",,"81",,"C-SHELF 2","3/3/2026","6550-KT-000-0002
Package A: Swab Sample ",
"Batteries - 9v","4BX","8","Order Soon","3 Boxes",,"B-SHELF 3","4/14/2026",,"david.a.whitaker26.mil@army.mil"
"Batteries - Drager LiSO2",,"0","No Change","44",,"B-SHELF 3","4/14/2026",,
"Batteries - AAA","12BX","24","No Change","20 Boxes ",,"B-SHELF 3","4/14/2026",,
"Batteries -CR123A","12BX","0","Order Now","4 Boxes",,"B-SHELF 3","4/20/2026",,
"Batteries - C ",,"1","Order Now","0",,"B-SHELF 3","4/14/2026",,
"Batteries - Identifinder Ni rechargeable",,"0","No Change","2",,"B-SHELF 3","4/14/2026",,
"Biomeme ISP Verification Cartridge Kit","2","2","Order Now","0",,"D Shelf 2","4/20/2026",,
"Batteries - D12",,"0","No Change","114",,"B-SHELF 3","4/14/2026",,
"Batteries - AA","4 BX","8","Order Now","0",,"B-SHELF 3","4/14/2026",,
"BruTab 256ct ( Multi-Purpose Effervescent Tablets)",,"4",,"3 Bottles ( Expires 06/2026)",,"C-Shelf 1 ","3/3/2026","684001X014844",
"Cal Gas - Multigas","5","11",,"10",,"A FRONT TABLE","4/14/2026","666501X012177 34L
666501X011335 116L",
"Cal Gas - Isobutylene 10 ppm","5","11",,"10",,"A FRONT TABLE","4/14/2026","666501X014438",
"Cal Gas - Sulfur Dioxide SO2","5","5",," 5 Ex (12 July26)]","3/15APR26/12","A FRONT TABLE","4/14/2026","666501X011065",
"Cal Gas - Ammonia NH3","5","5","Ordered","2        (19April26)]","5/02MAR26/12","A FRONT TABLE","4/14/2026","666501X011336",
"Cal Gas - Phosphine PH3","5","3",,"5    (SEP 26)","2/15APR26/12","A FRONT TABLE","4/14/2026","666501X011337",
"Cal Gas - Nitrogen","5","4","No Change","3 [Exp 4 (15May24)]",,"A FRONT TABLE","4/14/2026","66501X011067",
"Cal Gas - Chlorine Cl2","5","3",,"3 (13Aug26)","2/15APR/12","A FRONT TABLE","4/14/2026","666501X013223",
"Cal Gas - Hydrogen Cyanide HCN","5","3","Ordered","1 Exp 08/13/2026"," 1/03FEB26/12","A FRONT TABLE","4/14/2026","666501X011335",
"Calibration Adapter","15","15",,,,,,"5935-01-627-8643",
"Chem Light Green","30","50",,"74",,"C-SHELF1","3/3/2026","6260010744229",
"Chem Light Red","30","40",,"40",,"C-SHELF1","3/3/2026","6260011785559",
"Chem Light Blue","30","40",,"42",,"C-SHELF1","3/3/2026","6260011785560",
"Chem Tape (rolls)",,"3","No Change","6","4/10MAR26/02","C-SHELF 1","4/20/2026","9390016277243
685001X010704",
"Chain of Custody Forms",,"0",,"70",,"C-SHELF-3","3/2/2026","666501X010429",
"Compressor Cartridge - Bauer",,"0","No Change","0",,,,,
"DETECTACHEM / Presumptive Narcotics Analysis Test",,"0",,"1 box ( 9 test)",,"C-SHELF-1 ","3/3/2026",,
"Drager-Tubes Test V",,"0","No Change","2(Exp Feb27)",,"C-SHELF-1 ","4/14/2026",,
"Drager-Tubes Test I","x","2","No Change","4       (exp 02/27)","4/02FEB27/12","C-SHELF-1 ","4/14/2026","6665-01-X01-0566",
"Drager Tubes - Clan Lab","x","2",,"6                (JAN 2027)",,"C-SHELF-1 ","4/2/2026","685001X011080",
"Evidence Bag / Chain of Custody",,"0",,"100(10 x 15 Size)",,"C-SHELF-3","3/2/2026",,
" Evidence Bag - Clear Alert/ Chain of Custody Bags",,"0",,"100( 12 x 18 Size)",,"C-SHELF-3","3/2/2026",,
"Evidence Bag- Clear Alert/ Chain of Custody Bags",,"0",,"100 ( 9 x 12 Size) ",,"C-SHELF-3","3/2/2026",,
"Evidence Bag - Blank",,"0",,"80 (9x13 Size), Expire 10Feb2020)                      ",,"C-SHELF-3","3/2/2026",,
"Decon7 BDAS kit",,"0",,"24",,"C-SHELF-1 ","3/3/2026",,
"FILTER CBRN DHS 7000 ",,"0",,"23",,"A-SHELF-2","3/3/2026","424001X013821",
"Gator Clips",,"0",,"150",,"C- WD- Front","3/3/2026",,
"Gloves - Clear vinyl (Large)",,"0",,"0",,"C-SHELF 2","4/14/2026",,
"Gloves Nitrile M",,"0",,"7 box (50)",,"C-SHELF 2","4/20/2026",,
"Gloves Nitrile XL",,"0",,"9 boxes (50)",,"C-SHELF 2","4/20/2026",,
"Gloves Nitrile L ",,"0",,"0",,"C-SHELF 2","4/14/2026",,
"Gloves Nitrile Exam 12"" XL",,"0","Ordered","2 BOX","4/15APR26/12","C-SHELF 2","4/14/2026","651501X013301",
"Gloves Nitrile Exam 12"" LG",,"0",,"6 box (50)",,"C-SHELF 2","4/14/2026",,
"Gloves Nitrile Exam 12"" MD",,"0",,"3 BOX",,"C-SHELF 2","4/14/2026",,
"Gas, Bromopenta,Hapsite Internal Standard (2, Yellow)",,"6","Order Soon","6  3(02/2027)  3(05/2026)","3/10MAR26/02","A FRONT TABLE","4/20/2026","666501X010700",
"Carrier Gas, Nitrogen Hapsite  (1, Purple)",,"6",,"8    (Jan 2027)",,"A FRONT TABLE","4/2/2026","666501X010699",
"Hemostats RW",,"0",,"9",,"E-GREEN DRAWER FRONT","4/2/2026",,
"Hazardous Material bag 6ml ",,"0",,"1 box",,"C-SHELF-1","3/2/2026",,
"LAMP, 7R + PID 10.6EV PPB",,"2","No Change","2",,"C- WD FRONT","3/2/2026",,
"Lubricant & Sealant 111- Dow Corning",,"0",,"6 tubes (5.3oz)",,"A-SHELF-1","3/3/2026",,
"MultiRae Water Trap",,"34",,"30",,"C-GD FRONT","4/2/2026","666501X010691",
"Mustang PFD RE-ARM",,"0","No Change","1",,"B-SHELF 3","5/6/2025",,
"M339 Agentase Nerve Spray (RW)",,"1",,"2 box",,"C-SHELF-1","3/3/2026","4230016703193",
"MX 908 Training Chemical Kit",,"0",,"2",,"D-SHELF-4","3/3/2026","415-00044",
"MX 908 Trace Sampling Swab kits",,"10",,"17(50)",,"D-SHELF-4","3/3/2026","6665016713796",
"MX 908 Vapor Training Chemical Kit ",,"0",,"1",,"D-SHELF-4",,,
"MX 908 Captive Sampling Tube ",,"0",,"10",,"D-SHELF-4","3/3/2026","820-00828",
"MX 908 Captive Sampling Swab",,"0",,"8 (50ct)",,"D-SHELF-4","3/3/2026","820-00907",
"MultiRae pump",,"0","No Change","5",,,"1/5/2026",,
"MultiRae - Remote Sampling Probe",,"1",,"4",,"E-GRAY DRAWER FRONT","3/3/2026",,
"Mask - N95 ML",,"0",,"50",,"C-SHELF-1","3/3/2026","6515016229+571",
"Mask - N95 Small",,"0",,"30",,"C-SHELF-1","3/3/2026",,
"MultiRae Charcoal Filter PGM 50 VGA",,"0",,"17",,"C-WD Front","3/3/2026","0083024000",
"MultiRae Li-Ion battery",,"2","No Change","1",,,,,
"MultiRae Charging adaptor and wall charger",,"2","No Change","1",,"A-FRONT",,,
"MultiRae Dust Filters",,"5","No Change","51",,"E-GREEN DRAWER FRONT",,,
"MultiRae Rubber Boot (Black)",,"2",,"8",,"E-GRAY DRAWER FRONT","3/3/2026",,
"MultiRae Calibration Caps Assy",,"4",,"12",,"E-GREEN DRAWER FRONT","3/3/2026",,
"Multi- Gas Regulator ","5","5",,"5",,"E-GREEN DRAWER FRONT","3/3/2026",,
"MultiRae Rubber Boot (Yellow)",,"0","No Change","1",,"E-GRAY DRAWER FRONT","3/3/2026",,
"M256A2 Detector Kit",,"10","Order Soon","1 set",,"D-SHELF-1","4/2/2026",,
"NARK II - FENTANYL REAGENT",,"0",,"1",,"C-SHELF-1","3/3/2026",,
"Neutral Disinfectant Cleaner",,"1","No Change","3 (50 per box)",,"C-SHELF-1","3/3/2026",,
"Suite Gloves-NXOG  ",,"0",,"MD 14 / LG 10",,"B-SHELF-4","11/26/2025",,
